Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-08-16,2019,8,16,Friday,32,2019-32,274.1,276.07,273.44,274.1,1230800,259.51,0.009502296124089371,258.3992857142857,256.375
2019-08-19,2019,8,19,Monday,33,2019-33,276.41,277.38,274.55,275.61,1313400,260.94,0.005508734785536262,258.13642857142855,256.7462
2019-08-20,2019,8,20,Tuesday,33,2019-33,276.28,276.36,272.85,272.97,1390600,258.44,-0.009578816503965304,257.95642857142855,257.0514
2019-08-21,2019,8,21,Wednesday,33,2019-33,275.41,276.54,274.7,275.68,1682300,261.0,0.00992793670020764,258.03142857142853,257.403
2019-08-22,2019,8,22,Thursday,33,2019-33,277.01,280.99,276.87,279.92,2345500,265.02,0.015380465500440588,258.5335714285714,257.8326
2019-08-23,2019,8,23,Friday,33,2019-33,278.21,280.13,272.7,274.01,1984300,259.42,-0.02111318961164288,259.13571428571424,258.1034
2019-08-26,2019,8,26,Monday,34,2019-34,275.75,278.53,275.69,278.46,1426400,263.64,0.01624012812919262,259.755,258.4502
2019-08-27,2019,8,27,Tuesday,34,2019-34,281.0,293.44,280.34,292.38,5169000,276.82,0.04998906683054649,260.97785714285715,259.0364
2019-08-28,2019,8,28,Wednesday,34,2019-34,293.75,299.95,292.42,294.49,5162100,278.81,0.007216644983290665,262.3092857142857,259.63759999999996
2019-08-29,2019,8,29,Thursday,34,2019-34,297.48,297.73,292.76,296.57,2613100,281.4,0.009290667837691391,263.88357142857143,260.2732
2019-08-30,2019,8,30,Friday,34,2019-34,298.0,298.28,292.83,294.76,1801000,279.69,-0.006103108999225504,265.5135714285714,260.8046
2019-09-03,2019,9,3,Tuesday,35,2019-35,292.57,294.0,290.46,292.05,1842900,277.11,-0.009193693103399014,266.625,261.30760000000004
2019-09-04,2019,9,4,Wednesday,35,2019-35,294.0,296.3,293.77,296.12,1375700,280.98,0.013935681756836571,268.56071428571425,261.87579999999997
2019-09-05,2019,9,5,Thursday,35,2019-35,298.43,299.71,296.68,296.97,1865300,281.78,0.002870627560674688,270.3257142857143,262.4678
2019-09-06,2019,9,6,Friday,35,2019-35,299.2,304.64,298.29,303.76,3018100,288.23,0.022864303757328175,272.3771428571428,263.2258
2019-09-09,2019,9,9,Monday,36,2019-36,304.5,307.34,298.21,299.0,3397200,283.71,-0.015670341750036232,274.00357142857143,263.87120000000004
2019-09-10,2019,9,10,Tuesday,36,2019-36,297.38,298.25,294.58,297.0,2725000,281.81,-0.006688794486324201,275.67285714285714,264.5036
2019-09-11,2019,9,11,Wednesday,36,2019-36,294.3,295.74,287.81,290.69,4754700,275.82,-0.021245970235239664,276.7314285714286,265.0296
2019-09-12,2019,9,12,Thursday,36,2019-36,290.34,292.75,288.68,289.89,2942600,275.07,-0.002751870501877751,277.44928571428574,265.50419999999997
2019-09-13,2019,9,13,Friday,36,2019-36,290.2,294.07,289.85,291.9,2306300,276.97,0.006933497711836933,278.70285714285717,265.94739999999996
2019-09-16,2019,9,16,Monday,37,2019-37,290.57,291.38,288.34,288.69,1508900,273.93,-0.010996780682951846,279.4378571428571,266.3466
2019-09-17,2019,9,17,Tuesday,37,2019-37,289.56,291.79,288.69,291.41,1758900,276.51,0.009421868212828644,279.4157142857143,266.7756
2019-09-18,2019,9,18,Wednesday,37,2019-37,290.7,293.57,288.8,292.43,1666000,277.48,0.0035003185218116517,279.3207142857143,267.2132
2019-09-19,2019,9,19,Thursday,37,2019-37,289.49,289.76,284.71,287.83,3004700,273.11,-0.015730530352047745,278.7285714285714,267.536
2019-09-20,2019,9,20,Friday,37,2019-37,288.75,289.41,286.14,286.36,3409500,271.72,-0.005107107914234965,278.1592857142857,267.73400000000004
2019-09-23,2019,9,23,Monday,38,2019-38,286.36,288.13,285.75,287.57,2025400,272.86,0.004225487997140842,277.85571428571427,267.9
2019-09-24,2019,9,24,Tuesday,38,2019-38,289.3,292.62,286.4,287.91,2483200,273.19,0.0011822785934205715,277.2992857142857,268.05100000000004
2019-09-25,2019,9,25,Wednesday,38,2019-38,288.26,289.68,286.87,288.51,1827800,273.76,0.002084054791337664,276.7264285714286,268.212
2019-09-26,2019,9,26,Thursday,38,2019-38,289.43,289.81,286.6,288.26,1877300,273.52,-0.0008662901112053145,275.67571428571426,268.351
2019-09-27,2019,9,27,Friday,38,2019-38,289.53,289.53,284.4,285.95,1538100,271.33,-0.008013911040968269,274.7914285714286,268.42060000000004
